sample_id,step,topk_rank,chunk_id,importance
local_001,0,1,1,0.5048222541809082
local_001,0,2,0,0.49517765641212463
local_001,1,1,0,0.5856343507766724
local_001,1,2,1,0.41436558961868286
local_001,2,1,0,0.5654491186141968
local_001,2,2,1,0.43455085158348083
local_001,3,1,0,0.5743913054466248
local_001,3,2,1,0.42560863494873047
local_001,4,1,0,0.525958776473999
local_001,4,2,1,0.474041223526001
local_001,5,1,0,0.5253599286079407
local_001,5,2,1,0.4746399521827698
local_001,6,1,1,0.5007678270339966
local_001,6,2,0,0.49923205375671387
local_001,7,1,0,0.5138290524482727
local_001,7,2,1,0.4861708879470825
local_001,8,1,0,0.5835956335067749
local_001,8,2,1,0.4164043664932251
local_001,9,1,0,0.5226828455924988
local_001,9,2,1,0.4773171544075012
local_001,10,1,0,0.5315307378768921
local_001,10,2,1,0.4684692919254303
local_001,11,1,1,0.5150996446609497
local_001,11,2,0,0.48490026593208313
local_001,12,1,0,0.5352560877799988
local_001,12,2,1,0.46474388241767883
local_001,13,1,0,0.5217425227165222
local_001,13,2,1,0.4782573878765106
local_001,14,1,0,0.5522156953811646
local_001,14,2,1,0.4477843642234802
local_001,15,1,1,0.5176331996917725
local_001,15,2,0,0.4823668599128723
local_002,0,1,0,0.6240186095237732
local_002,0,2,1,0.37598133087158203
local_002,1,1,0,0.6537871360778809
local_002,1,2,1,0.34621286392211914
local_002,2,1,0,0.6103365421295166
local_002,2,2,1,0.3896634876728058
local_002,3,1,0,0.578870415687561
local_002,3,2,1,0.42112961411476135
local_002,4,1,0,0.591413676738739
local_002,4,2,1,0.4085862934589386
local_002,5,1,0,0.6175815463066101
local_002,5,2,1,0.3824184238910675
local_002,6,1,0,0.6153711676597595
local_002,6,2,1,0.38462889194488525
local_002,7,1,0,0.6000960469245911
local_002,7,2,1,0.3999040722846985
local_002,8,1,0,0.5754355192184448
local_002,8,2,1,0.4245644807815552
local_002,9,1,0,0.5800853967666626
local_002,9,2,1,0.419914573431015
local_002,10,1,0,0.6017252206802368
local_002,10,2,1,0.398274689912796
local_002,11,1,0,0.5327348709106445
local_002,11,2,1,0.467265248298645
local_002,12,1,0,0.5187022089958191
local_002,12,2,1,0.48129770159721375
local_002,13,1,0,0.5559821128845215
local_002,13,2,1,0.4440178871154785
local_002,14,1,0,0.5483279228210449
local_002,14,2,1,0.45167210698127747
local_002,15,1,1,0.5146532654762268
local_002,15,2,0,0.4853467047214508
long_001,0,1,1,0.547606885433197
long_001,0,2,0,0.452393114566803
long_001,1,1,0,0.5025601387023926
long_001,1,2,1,0.4974398612976074
long_001,2,1,1,0.5208040475845337
long_001,2,2,0,0.4791960120201111
long_001,3,1,0,0.5141294002532959
long_001,3,2,1,0.4858705997467041
long_001,4,1,1,0.5307437181472778
long_001,4,2,0,0.46925634145736694
long_001,5,1,1,0.5369830131530762
long_001,5,2,0,0.46301689743995667
long_001,6,1,1,0.5425348281860352
long_001,6,2,0,0.4574652314186096
long_001,7,1,1,0.5005097985267639
long_001,7,2,0,0.49949026107788086
long_001,8,1,1,0.5321394205093384
long_001,8,2,0,0.4678605794906616
long_001,9,1,1,0.5404364466667175
long_001,9,2,0,0.45956355333328247
long_001,10,1,1,0.5239657163619995
long_001,10,2,0,0.47603434324264526
long_001,11,1,1,0.5289263129234314
long_001,11,2,0,0.47107356786727905
long_001,12,1,1,0.5330618023872375
long_001,12,2,0,0.4669380784034729
long_001,13,1,0,0.5224282741546631
long_001,13,2,1,0.47757160663604736
long_001,14,1,1,0.5557876825332642
long_001,14,2,0,0.44421225786209106
long_001,15,1,0,0.5807303786277771
long_001,15,2,1,0.4192695915699005
long_002,0,1,1,0.5473231673240662
long_002,0,2,0,0.45267683267593384
long_002,1,1,0,0.5069336891174316
long_002,1,2,1,0.49306637048721313
long_002,2,1,0,0.5146817564964294
long_002,2,2,1,0.48531824350357056
long_002,3,1,1,0.5283700823783875
long_002,3,2,0,0.47162991762161255
long_002,4,1,1,0.5778592824935913
long_002,4,2,0,0.4221407175064087
long_002,5,1,1,0.5201668739318848
long_002,5,2,0,0.47983312606811523
long_002,6,1,0,0.523637056350708
long_002,6,2,1,0.47636303305625916
long_002,7,1,0,0.5077511072158813
long_002,7,2,1,0.4922488033771515
long_002,8,1,0,0.5187114477157593
long_002,8,2,1,0.48128852248191833
long_002,9,1,0,0.5225517749786377
long_002,9,2,1,0.4774482846260071
long_002,10,1,0,0.5087586641311646
long_002,10,2,1,0.4912412166595459
long_002,11,1,1,0.508115291595459
long_002,11,2,0,0.491884708404541
long_002,12,1,1,0.5307555198669434
long_002,12,2,0,0.4692443609237671
long_002,13,1,1,0.5226580500602722
long_002,13,2,0,0.47734197974205017
long_002,14,1,1,0.5495091676712036
long_002,14,2,0,0.450490802526474
long_002,15,1,1,0.5658885836601257
long_002,15,2,0,0.4341113269329071
