sample_id,allocated_bytes_after_cleanup,reserved_bytes_after_cleanup,peak_allocated_bytes,peak_reserved_bytes
local_01,13327302656,13344178176,13864229376,14004781056
local_02,13327302656,13344178176,13864296960,14053015552
local_03,13327302656,13344178176,13865048064,14053015552
local_04,13327302656,13344178176,13850004992,13983809536
local_05,13327302656,13344178176,13863546368,14053015552
local_06,13327302656,13344178176,13863546368,14053015552
local_07,13327302656,13344178176,13865799168,14053015552
local_08,13327302656,13344178176,13865048064,14053015552
local_09,13327302656,13344178176,13865799168,14053015552
local_10,13327302656,13344178176,13863546368,14053015552
early_recall_01,13327302656,13344178176,13853259776,14002683904
early_recall_02,13327302656,13344178176,13858062848,14002683904
early_recall_03,13327302656,13344178176,13858614784,14002683904
early_recall_04,13327302656,13344178176,13858062848,14002683904
early_recall_05,13327302656,13344178176,13855088128,14002683904
early_recall_06,13327302656,13344178176,13858062848,14002683904
early_recall_07,13327302656,13344178176,13855088128,14002683904
early_recall_08,13327302656,13344178176,13855088128,14002683904
early_recall_09,13327302656,13344178176,13853259776,14002683904
early_recall_10,13327302656,13344178176,13858614784,14002683904
middle_recall_01,13327302656,13344178176,13852349440,14002683904
middle_recall_02,13327302656,13344178176,13859166208,14002683904
middle_recall_03,13327302656,13344178176,13855088128,14002683904
middle_recall_04,13327302656,13344178176,13854175744,14002683904
middle_recall_05,13327302656,13344178176,13851437568,14002683904
middle_recall_06,13327302656,13344178176,13855088128,14002683904
middle_recall_07,13327302656,13344178176,13854175744,14002683904
middle_recall_08,13327302656,13344178176,13853259776,14002683904
middle_recall_09,13327302656,13344178176,13852349440,14002683904
middle_recall_10,13327302656,13344178176,13862814720,14004781056
comparison_01,13327302656,13344178176,13863377408,14004781056
comparison_02,13327302656,13344178176,13863377408,14004781056
comparison_03,13327302656,13344178176,13862814720,14004781056
comparison_04,13327302656,13344178176,13858614784,14002683904
comparison_05,13327302656,13344178176,13863377408,14004781056
comparison_06,13327302656,13344178176,13864296960,14053015552
comparison_07,13327302656,13344178176,13859166208,14002683904
comparison_08,13327302656,13344178176,13859166208,14002683904
comparison_09,13327302656,13344178176,13863377408,14004781056
comparison_10,13327302656,13344178176,13863377408,14004781056
