subtype,chunk_id,topk_count,subtype_topk_rows,frequency,mean_importance
local,0,160,480,0.3333333333333333,0.24371733553707595
local,10,160,480,0.3333333333333333,0.3454267586581409
local,11,155,480,0.3229166666666667,0.20500893232322506
local,9,5,480,0.010416666666666666,0.04871059507131572
early_recall,0,160,480,0.3333333333333333,0.32619520910084243
early_recall,10,160,480,0.3333333333333333,0.3262468051165342
early_recall,11,158,480,0.32916666666666666,0.14387917707238013
early_recall,9,2,480,0.004166666666666667,0.0321564301848411
middle_recall,0,160,480,0.3333333333333333,0.25385188125073904
middle_recall,10,160,480,0.3333333333333333,0.3550618493929505
middle_recall,11,142,480,0.29583333333333334,0.15831792254892868
middle_recall,5,18,480,0.0375,0.07083357994755105
comparison,0,160,480,0.3333333333333333,0.26772520896047347
comparison,10,160,480,0.3333333333333333,0.29466107422485943
comparison,11,160,480,0.3333333333333333,0.22450852813199157
