sample_id,type,original_tokens,truncated_tokens,max_input_tokens,was_truncated,strategy
local_01,local,894,894,900,False,not_truncated
local_02,local,892,892,900,False,not_truncated
local_03,local,892,892,900,False,not_truncated
local_04,local,876,876,900,False,not_truncated
local_05,local,892,892,900,False,not_truncated
local_06,local,890,890,900,False,not_truncated
local_07,local,893,893,900,False,not_truncated
local_08,local,893,893,900,False,not_truncated
local_09,local,894,894,900,False,not_truncated
local_10,local,891,891,900,False,not_truncated
early_recall_01,long_range,877,877,900,False,not_truncated
early_recall_02,long_range,877,877,900,False,not_truncated
early_recall_03,long_range,881,881,900,False,not_truncated
early_recall_04,long_range,877,877,900,False,not_truncated
early_recall_05,long_range,876,876,900,False,not_truncated
early_recall_06,long_range,875,875,900,False,not_truncated
early_recall_07,long_range,878,878,900,False,not_truncated
early_recall_08,long_range,875,875,900,False,not_truncated
early_recall_09,long_range,877,877,900,False,not_truncated
early_recall_10,long_range,878,878,900,False,not_truncated
middle_recall_01,long_range,868,868,900,False,not_truncated
middle_recall_02,long_range,868,868,900,False,not_truncated
middle_recall_03,long_range,868,868,900,False,not_truncated
middle_recall_04,long_range,868,868,900,False,not_truncated
middle_recall_05,long_range,867,867,900,False,not_truncated
middle_recall_06,long_range,865,865,900,False,not_truncated
middle_recall_07,long_range,866,866,900,False,not_truncated
middle_recall_08,long_range,865,865,900,False,not_truncated
middle_recall_09,long_range,868,868,900,False,not_truncated
middle_recall_10,long_range,868,868,900,False,not_truncated
comparison_01,long_range,901,900,900,True,long_range:preserve_prefix_middle_tail
comparison_02,long_range,904,900,900,True,long_range:preserve_prefix_middle_tail
comparison_03,long_range,898,898,900,False,not_truncated
comparison_04,long_range,899,899,900,False,not_truncated
comparison_05,long_range,901,900,900,True,long_range:preserve_prefix_middle_tail
comparison_06,long_range,905,900,900,True,long_range:preserve_prefix_middle_tail
comparison_07,long_range,899,899,900,False,not_truncated
comparison_08,long_range,901,900,900,True,long_range:preserve_prefix_middle_tail
comparison_09,long_range,901,900,900,True,long_range:preserve_prefix_middle_tail
comparison_10,long_range,906,900,900,True,long_range:preserve_prefix_middle_tail
